# Server version 0.08 running on 192.168.0.101:8123
# Game ID: 42
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sat Mar 15 22:01:09 EDT 2014
# Player 1: Player-0, 'random', running on 192.168.0.101
# Player 2: Player-1, 'random', running on 192.168.0.101
# Player 3: Player-2, 'random', running on 192.168.0.101
# Player 4: Player-3, 'random', running on 192.168.0.101
START Player-0 random
START Player-1 random
START Player-2 random
START Player-3 random
1 (12,3) (11,4)
2 (11,6) (13,4)
2 null null
3 (9,8) (9,6)
3 (9,6) (7,4)
3 (7,4) (5,2)
3 null null
0 (2,1) (3,2)
1 (11,4) (10,5)
2 (12,5) (14,3)
2 null null
3 (5,2) (4,1)
0 (3,2) (4,3)
1 (10,5) (9,6)
2 (13,4) (15,2)
2 (15,2) (15,0)
2 null null
3 (4,1) (3,0)
0 (8,5) (10,7)
0 (10,7) (12,9)
0 null null
1 (9,6) (8,7)
2 (14,3) (15,2)
3 (3,0) (1,0)
3 null null
0 (11,8) (13,10)
0 null null
1 (8,7) (6,9)
1 null null
2 (0,12) (1,11)
3 (11,13) (10,12)
0 (12,9) (14,11)
0 null null
1 (7,8) (5,10)
1 (5,10) (3,12)
1 null null
2 (8,11) (10,11)
2 null null
3 (6,4) (6,2)
3 null null
0 (9,11) (11,13)
0 null null
1 (3,12) (2,13)
2 (10,11) (11,10)
3 (12,11) (10,9)
3 null null
0 (14,10) (14,12)
0 null null
1 (2,13) (1,14)
2 (11,10) (12,9)
3 (6,2) (5,1)
0 (14,11) (14,13)
0 (14,13) (14,15)
0 null null
1 (6,9) (5,10)
2 (4,11) (6,9)
2 null null
3 (5,1) (4,0)
0 (13,10) (14,11)
1 (5,10) (4,11)
2 (12,9) (13,8)
3 (15,12) (13,10)
3 null null
0 (14,11) (15,12)
1 (13,5) (12,6)
2 (6,9) (7,8)
3 (10,9) (9,8)
0 (11,13) (12,14)
1 (12,6) (11,7)
2 (13,8) (14,7)
3 (9,8) (9,6)
3 null null
0 (12,14) (13,15)
1 (11,7) (10,8)
2 (14,7) (15,6)
3 (9,6) (8,5)
0 (15,12) (15,14)
0 null null
1 (10,8) (9,9)
2 (13,1) (14,0)
3 (13,10) (12,9)
0 (2,5) (3,6)
1 (9,9) (7,11)
1 (7,11) (5,11)
1 (5,11) (3,11)
1 null null
2 (6,14) (7,13)
3 (12,9) (11,8)
0 (3,6) (4,7)
1 (5,6) (3,8)
1 null null
2 (7,13) (8,12)
3 (12,15) (11,14)
0 (4,5) (5,6)
1 (3,8) (2,9)
2 (8,12) (9,11)
3 (11,14) (10,13)
0 (6,3) (7,4)
1 (2,9) (1,10)
2 (9,7) (10,6)
3 (8,5) (6,3)
3 null null
0 (7,4) (8,5)
1 (1,10) (0,11)
2 (10,6) (11,5)
3 (6,3) (5,2)
0 (4,3) (5,4)
1 (6,10) (5,11)
2 (11,5) (13,3)
2 null null
3 (5,2) (4,1)
0 (5,4) (6,5)
1 (5,11) (4,12)
2 (12,4) (14,2)
2 null null
3 (4,1) (3,0)
0 (6,5) (7,6)
1 (4,12) (3,13)
2 (7,8) (8,7)
3 (8,4) (7,3)
0 (7,6) (9,8)
0 null null
1 (3,13) (3,15)
1 null null
2 (8,7) (9,6)
3 (7,3) (6,2)
0 (5,6) (7,8)
0 null null
1 (4,15) (2,15)
1 (2,15) (0,15)
1 null null
2 (9,6) (10,5)
3 (6,2) (5,1)
0 (9,8) (10,9)
1 (8,10) (7,11)
2 (10,5) (11,4)
3 (10,12) (8,10)
3 null null
0 (10,9) (11,10)
1 (7,11) (5,11)
1 null null
2 (11,4) (12,3)
3 (8,10) (7,9)
0 (11,10) (12,11)
1 (5,11) (4,12)
2 (12,3) (14,3)
2 (14,3) (14,1)
2 null null
3 (2,7) (1,6)
0 (12,11) (13,12)
1 (4,12) (3,13)
2 (9,11) (10,10)
3 (1,6) (0,5)
0 (13,12) (14,13)
1 (12,0) (11,1)
2 (10,10) (11,9)
3 (11,8) (10,7)
0 (7,8) (8,9)
1 (11,1) (10,2)
2 (11,9) (12,8)
3 (10,7) (9,6)
0 (8,5) (10,7)
0 null null
1 (4,11) (3,12)
2 (12,8) (13,7)
3 (9,6) (8,5)
0 (8,9) (9,10)
1 (3,12) (2,13)
2 (13,7) (14,6)
3 (10,13) (9,12)
0 (10,7) (11,8)
1 (2,13) (2,15)
1 null null
2 (14,6) (15,5)
3 (9,12) (8,11)
0 (9,10) (10,11)
1 (6,11) (5,12)
2 (15,6) (15,4)
2 null null
3 (8,11) (7,10)
0 (10,11) (11,12)
1 (5,12) (4,13)
2 (15,5) (15,3)
2 null null
3 (7,10) (7,8)
3 (7,8) (5,6)
3 null null
0 (11,12) (12,13)
1 (4,13) (2,13)
1 null null
2 (2,11) (4,11)
2 null null
3 (13,14) (11,12)
3 null null
0 (12,13) (13,14)
1 (3,13) (1,13)
1 null null
2 (4,11) (5,10)
3 (11,12) (10,11)
0 (11,8) (12,9)
1 (2,13) (0,13)
1 null null
2 (5,10) (6,9)
3 (10,11) (9,10)
0 (12,9) (13,10)
1 (1,13) (0,14)
2 (6,9) (8,9)
2 null null
3 (9,10) (7,8)
3 null null
0 (13,10) (14,11)
1 (10,2) (9,3)
2 (8,9) (9,8)
3 (5,6) (4,5)
0 (14,11) (15,12)
1 (6,7) (5,8)
2 (9,8) (10,7)
3 (4,5) (3,4)
0 (4,7) (6,9)
0 (6,9) (8,9)
0 null null
1 (5,8) (4,9)
2 (10,7) (11,6)
3 (3,4) (2,3)
0 (8,9) (9,10)
1 (4,9) (3,10)
2 (11,6) (12,5)
3 (7,8) (6,7)
0 (9,10) (10,11)
1 (3,10) (2,11)
2 (1,11) (2,10)
3 (8,5) (7,4)
0 (10,11) (11,12)
1 (2,11) (1,12)
2 (2,10) (3,9)
3 (7,4) (6,3)
0 (11,12) (12,13)
1 (9,3) (8,4)
2 (3,9) (4,8)
3 (6,3) (5,2)
0 (1,3) (2,4)
1 (8,4) (7,5)
2 (4,8) (5,7)
3 (5,2) (5,0)
3 null null
0 (2,4) (3,5)
1 (7,5) (6,6)
2 (5,7) (7,5)
2 null null
3 (7,9) (6,8)
0 (3,5) (4,6)
1 (6,6) (5,7)
2 (7,5) (8,4)
3 (6,8) (6,6)
3 null null
0 (4,6) (6,8)
0 null null
1 (5,7) (4,8)
2 (8,4) (9,3)
3 (6,6) (5,5)
0 (6,8) (7,9)
1 (4,8) (3,9)
2 (12,5) (13,4)
3 (5,5) (4,4)
0 (7,9) (8,10)
1 (3,9) (2,10)
2 (13,4) (14,3)
3 (4,4) (3,3)
0 (8,10) (9,11)
1 (2,10) (1,11)
2 (9,3) (10,2)
3 (3,3) (2,2)
0 (9,11) (10,12)
1 (1,11) (0,12)
2 (10,2) (11,1)
3 (6,7) (5,6)
0 (10,12) (11,13)
1 (3,11) (2,12)
2 (11,1) (13,1)
2 null null
3 (5,6) (4,5)
0 (11,13) (12,14)
1 (2,12) (1,13)
2 (12,1) (13,0)
3 (4,5) (3,4)
0 (12,13) (12,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
2 (15,10) (15,9)
3 (3,4) (1,2)
3 null null
0 (15,15) (13,13)
0 (13,13) (15,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
2 (15,9) (15,8)
3 (2,3) (0,1)
3 null null
0 (15,15) (13,13)
0 (13,13) (15,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
2 (13,3) (13,2)
3 (5,1) (4,1)
0 (15,15) (13,13)
0 (13,13) (15,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
2 (15,8) (15,7)
3 (2,2) (2,1)
0 (15,15) (13,13)
0 (13,13) (15,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
2 (15,7) (15,6)
3 (0,5) (0,4)
0 (15,15) (13,13)
0 (13,13) (15,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
2 (15,6) (15,5)
3 (0,4) (0,3)
0 (15,15) (13,13)
0 (13,13) (15,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
2 (15,4) (14,4)
3 (4,1) (3,1)
0 (15,15) (13,13)
0 (13,13) (15,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
2 (15,5) (15,4)
3 (0,0) (2,2)
3 (2,2) (0,0)
3 null null
0 (15,15) (13,13)
0 (13,13) (15,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
2 (15,4) (13,4)
2 (13,4) (15,4)
2 null null
3 (0,0) (2,2)
3 (2,2) (0,0)
3 null null
0 (15,15) (13,13)
0 (13,13) (15,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
2 (15,4) (13,4)
2 (13,4) (15,4)
2 null null
3 (0,0) (2,2)
3 (2,2) (0,0)
3 null null
0 (15,15) (13,13)
0 (13,13) (15,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
2 (15,4) (13,4)
2 (13,4) (15,4)
2 null null
3 (0,0) (2,2)
3 (2,2) (0,0)
3 null null
0 (15,15) (13,13)
0 (13,13) (15,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
2 (15,4) (13,4)
2 (13,4) (15,4)
2 null null
3 (0,0) (2,2)
3 (2,2) (0,0)
3 null null
0 (15,15) (13,13)
0 (13,13) (15,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
2 (15,4) (13,4)
2 (13,4) (15,4)
2 null null
3 (0,0) (2,2)
3 (2,2) (0,0)
3 null null
0 (15,15) (13,13)
0 (13,13) (15,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
2 (15,4) (13,4)
2 (13,4) (15,4)
2 null null
3 (0,0) (2,2)
3 (2,2) (0,0)
3 null null
0 (15,15) (13,13)
0 (13,13) (15,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
2 (15,4) (13,4)
2 (13,4) (15,4)
2 null null
3 (0,0) (2,2)
3 (2,2) (0,0)
3 null null
0 (15,15) (13,13)
0 (13,13) (15,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
2 (15,4) (13,4)
2 (13,4) (15,4)
2 null null
3 (0,0) (2,2)
3 (2,2) (0,0)
3 null null
0 (15,15) (13,13)
0 (13,13) (15,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
2 (15,4) (13,4)
2 (13,4) (15,4)
2 null null
3 (0,0) (2,2)
3 (2,2) (0,0)
3 null null
0 (15,15) (13,13)
0 (13,13) (15,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
2 (15,4) (13,4)
2 (13,4) (15,4)
2 null null
3 (0,0) (2,2)
3 (2,2) (0,0)
3 null null
0 (15,15) (13,13)
0 (13,13) (15,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
2 (15,4) (13,4)
2 (13,4) (15,4)
2 null null
3 (0,0) (2,2)
3 (2,2) (0,0)
3 null null
0 (15,15) (13,13)
0 (13,13) (15,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
2 (15,4) (13,4)
2 (13,4) (15,4)
2 null null
3 (0,0) (2,2)
3 (2,2) (0,0)
3 null null
0 (15,15) (13,13)
0 (13,13) (15,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
2 (15,4) (13,4)
2 (13,4) (15,4)
2 null null
3 (0,0) (2,2)
3 (2,2) (0,0)
3 null null
0 (15,15) (13,13)
0 (13,13) (15,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
2 (15,4) (13,4)
2 (13,4) (15,4)
2 null null
3 (0,0) (2,2)
3 (2,2) (0,0)
3 null null
0 (15,15) (13,13)
0 (13,13) (15,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
2 (15,4) (13,4)
2 (13,4) (15,4)
2 null null
3 (0,0) (2,2)
3 (2,2) (0,0)
3 null null
0 (15,15) (13,13)
0 (13,13) (15,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
2 (15,4) (13,4)
2 (13,4) (15,4)
2 null null
3 (0,0) (2,2)
3 (2,2) (0,0)
3 null null
0 (15,15) (13,13)
0 (13,13) (15,15)
0 null null
1 (0,15) (2,13)
1 (2,13) (0,15)
1 null null
